,timestamp,open,high,low,close,volume
0,2025-12-15,308.9850,311.3629,306.3500,308.6600,3412368
1,2025-12-12,310.5700,311.0500,303.3300,309.2400,2953374
2,2025-12-11,312.0000,313.4400,308.4000,310.7400,2755749
3,2025-12-10,310.2300,314.6900,306.6513,312.6700,3411524
4,2025-12-09,309.6300,313.9700,308.7500,310.4800,2914275
5,2025-12-08,309.6200,315.3454,307.9500,309.1800,3615794
6,2025-12-05,308.5900,311.8300,307.1800,307.9400,2344667
7,2025-12-04,302.8750,309.6100,302.5400,307.9900,2962463
8,2025-12-03,302.8800,303.9700,298.9050,302.6200,3953390
9,2025-12-02,307.0000,310.4675,301.5700,301.7800,4261100
10,2025-12-01,306.5050,307.1200,302.8000,305.6700,3166555
11,2025-11-28,304.0600,309.1800,303.6000,308.5800,1689031
12,2025-11-26,305.1800,306.6000,301.6400,303.2100,2196446
13,2025-11-25,304.1250,306.0000,297.0600,304.4800,2825322
14,2025-11-24,299.1800,307.1800,297.5100,304.1200,6050640
15,2025-11-21,293.4800,300.4800,291.8900,297.4400,5710903
16,2025-11-20,294.6400,300.7100,290.1600,290.4000,5597028
17,2025-11-19,290.5000,291.1099,288.0700,288.5300,3595912
18,2025-11-18,297.0000,297.0000,289.9200,289.9500,4861928
19,2025-11-17,305.5900,306.0000,296.5100,297.1700,3909741
20,2025-11-14,300.0000,307.7200,297.5900,305.6900,3592455
21,2025-11-13,312.2900,314.6000,303.6800,304.8600,5310150
22,2025-11-12,319.8900,324.9000,314.5324,314.9800,6042686
23,2025-11-11,309.0000,317.9100,308.4300,313.7200,4381913
24,2025-11-10,306.8200,309.9400,304.2300,309.1300,2975188
25,2025-11-07,309.6800,310.0000,302.6301,306.3800,5070773
26,2025-11-06,306.7500,315.4400,301.0900,312.4200,6818521
27,2025-11-05,301.3800,307.2000,299.7100,306.7700,4633195
28,2025-11-04,300.0000,303.1700,296.0000,300.8500,5677330
29,2025-11-03,308.0000,312.1411,304.2300,304.7300,4957958
30,2025-10-31,312.0000,313.5000,301.6300,307.4100,7697499
31,2025-10-30,306.6500,313.7500,305.0200,310.0600,4694275
32,2025-10-29,312.7900,314.3300,307.5200,308.2100,4135948
33,2025-10-28,312.6000,319.3500,311.4100,312.5700,6044770
34,2025-10-27,307.8000,313.5000,302.8800,313.0900,9868151
35,2025-10-24,283.7700,310.7500,282.2100,307.4600,16914243
36,2025-10-23,264.9500,285.5791,263.5623,285.0000,16676394
37,2025-10-22,281.9900,289.1700,281.3500,287.5100,10538480
38,2025-10-21,283.3100,285.3100,281.6000,282.0500,4080981
39,2025-10-20,281.2500,285.5000,280.9600,283.6500,3494336
40,2025-10-17,276.1500,283.4000,275.3500,281.2800,5309565
41,2025-10-16,281.1100,282.5600,275.6000,275.9700,2956923
42,2025-10-15,278.3800,285.4500,277.0000,280.7500,3346753
43,2025-10-14,275.5200,277.5300,272.5469,276.1500,3058149
44,2025-10-13,279.7900,282.4399,274.6400,277.2200,4333836
45,2025-10-10,288.9700,290.3850,277.5000,277.8200,4508506
46,2025-10-09,289.8200,290.1300,283.3200,288.2300,4912375
47,2025-10-08,294.1600,294.2000,286.4730,289.4600,5297030
48,2025-10-07,295.5500,301.0425,293.2850,293.8700,7190126
49,2025-10-06,288.6100,291.4500,287.8000,289.4200,2881947
50,2025-10-03,287.5000,293.3200,287.3000,288.3700,4375082
51,2025-10-02,285.7900,288.5400,282.7900,286.7200,3814232
52,2025-10-01,280.2000,286.5900,280.1500,286.4900,4381338
53,2025-09-30,280.8800,286.0250,280.5200,282.1600,5926924
54,2025-09-29,286.0000,286.0000,279.6600,279.8000,6022125
55,2025-09-26,280.5100,288.8500,280.1100,284.3100,9063938
56,2025-09-25,272.9350,284.2300,271.1480,281.4400,11506192
57,2025-09-24,272.6200,273.6499,267.3000,267.5300,3159924
58,2025-09-23,272.7000,273.2962,269.2650,272.2400,5394121
59,2025-09-22,266.6200,272.3100,266.0000,271.3700,5030540
60,2025-09-19,266.0500,267.8700,263.6400,266.4000,9858112
61,2025-09-18,258.8600,265.2300,256.8004,265.0000,4988421
62,2025-09-17,257.4950,260.9644,257.0100,259.0800,3974785
63,2025-09-16,256.2600,258.0000,254.4100,257.5200,2719918
64,2025-09-15,254.0200,259.0500,254.0000,256.2400,4028365
65,2025-09-12,256.9500,257.2500,252.4250,253.4400,3433300
66,2025-09-11,257.5600,258.5450,255.6550,257.0100,3576048
67,2025-09-10,259.6500,260.0800,254.5600,256.8800,5185420
68,2025-09-09,256.1200,260.6600,254.8800,259.1100,4931105
69,2025-09-08,248.6300,257.1500,247.0200,256.0900,6940270
70,2025-09-05,248.2300,249.0300,245.4500,248.5300,3147478
71,2025-09-04,245.4200,249.2800,242.8500,247.1800,4765087
72,2025-09-03,240.0200,244.2500,239.4100,244.1000,3156289
73,2025-09-02,240.9000,241.5500,238.2500,241.5000,3469501
74,2025-08-29,245.2300,245.4599,241.7200,243.4900,2967558
75,2025-08-28,245.4300,245.8800,243.3600,245.7300,2820817
76,2025-08-27,242.8700,245.9600,242.0000,244.8400,3698372
77,2025-08-26,241.0200,244.9800,240.3800,242.6300,5386582
78,2025-08-25,242.5650,242.5650,239.4300,239.4300,3513327
79,2025-08-22,240.7400,243.6800,240.2200,242.0900,3134882
80,2025-08-21,242.2100,242.5000,238.6500,239.4000,2991902
81,2025-08-20,242.1100,242.8800,240.3400,242.5500,3240064
82,2025-08-19,240.0000,242.8300,239.4900,241.2800,3328305
83,2025-08-18,239.5700,241.4200,239.1158,239.4500,3569594
84,2025-08-15,237.6100,240.6200,236.7700,239.7200,4344322
85,2025-08-14,238.2500,239.0000,235.6200,237.1100,4556725
86,2025-08-13,236.2000,240.8411,236.2000,240.0700,5663562
87,2025-08-12,236.5300,237.9600,233.3600,234.7700,8800597
88,2025-08-11,242.2400,243.1500,234.7000,236.3000,9381960
89,2025-08-08,248.8800,249.4800,241.6500,242.2700,6828390
90,2025-08-07,252.8100,255.0000,248.8750,250.1600,6251285
91,2025-08-06,251.5300,254.3200,249.2800,252.2800,3692105
92,2025-08-05,252.0000,252.8000,248.9950,250.6700,5823016
93,2025-08-04,251.0500,252.0800,248.1100,251.9800,5280588
94,2025-08-01,251.4050,251.4791,245.6100,250.0500,9683404
95,2025-07-31,259.5700,259.9900,252.2200,253.1500,6739092
96,2025-07-30,261.6000,262.0000,258.9000,260.2600,3718290
97,2025-07-29,264.3000,265.7999,261.0200,262.4100,4627265
98,2025-07-28,260.3000,264.0000,259.6100,263.2100,5192516
99,2025-07-25,260.0200,260.8000,256.3500,259.7200,7758653
